benign_group,pcap_count,row_count,tn,fp,fpr,specificity,attack_score_mean,attack_score_p95,attack_score_p99,max_attack_score
owltron_interaction,1,750,749,1,0.0013333333333333333,0.9986666666666667,0.011672789874052493,0.03360561821609735,0.11622041881084433,0.923693835735321
owltron_power,1,40,28,12,0.3,0.7,0.3329941869205868,0.9529394060373306,0.9629075908660889,0.967059850692749
profiling_idle,1,750,682,68,0.09066666666666667,0.9093333333333333,0.11074193227023013,0.8272323250770567,0.9779057985544205,0.9999709129333496
