modeling_group_key,pcap_count,row_count,tp,fn,recall,attack_score_mean,attack_score_p05,attack_score_p50,attack_score_p95
DDoS|DDoS_TCP,1,750,750,0,1.0,0.9984551986853282,0.9989560842514038,0.9990039467811584,0.999026894569397
DoS|DoS_TCP,1,750,718,32,0.9573333333333334,0.9690967653989792,0.7328977286815644,0.9990265369415283,0.9990289211273193
MQTT|MQTT_DoS_Publish_Flood,1,750,750,0,1.0,0.9732147405147552,0.9003191262483596,0.9862455427646637,0.9989701449871063
Recon|OS_Scan,1,750,742,8,0.9893333333333333,0.9721402756969134,0.8626383662223815,0.9999789595603943,0.9999960660934448
