pcap_id,modeling_group_key,binary_label,benign_category,row_count,tp,fp,tn,fn,recall,fpr,specificity,attack_score_mean,attack_score_p95,attack_score_p99,max_attack_score
Idle-d722d61af6fa2e4f,benign|singleton|Idle,BENIGN,profiling_idle,750,0,68,682,0,,0.09066666666666667,0.9093333333333333,0.11074193227023013,0.8272323250770567,0.9779057985544205,0.9999709129333496
MQTT-DoS-Publish_Flood_train-710a8c2e0fd3ccf2,MQTT|MQTT_DoS_Publish_Flood,ATTACK,,750,750,0,0,0,1.0,,,0.9732147405147552,0.9989701449871063,0.9996916323900222,0.9999929666519165
Owltron_Camera_LAN_MIC-513871f21444e330,benign|device|Owltron_Camera,BENIGN,profiling_interaction,750,0,1,749,0,,0.0013333333333333333,0.9986666666666667,0.011672789874052493,0.03360561821609735,0.11622041881084433,0.923693835735321
Owltron_Camera_Power-e29ebcb4aba84f5c,benign|device|Owltron_Camera,BENIGN,profiling_power,40,0,12,28,0,,0.3,0.7,0.3329941869205868,0.9529394060373306,0.9629075908660889,0.967059850692749
Recon-OS_Scan_train-374d28e87069ff50,Recon|OS_Scan,ATTACK,,750,742,0,0,8,0.9893333333333333,,,0.9721402756969134,0.9999960660934448,0.9999967813491821,1.0
TCP_IP-DDoS-TCP1_train-4bd6e516680531ed,DDoS|DDoS_TCP,ATTACK,,750,750,0,0,0,1.0,,,0.9984551986853282,0.999026894569397,0.9990280866622925,0.9990288019180298
TCP_IP-DoS-TCP1_train-6a08fbf1e5b3072a,DoS|DoS_TCP,ATTACK,,750,718,0,0,32,0.9573333333333334,,,0.9690967653989792,0.9990289211273193,0.9990349543094635,0.9990476965904236
