model_id,fpr_target,target_reached,threshold,benign_fp,benign_support,benign_fpr,ddos_tcp_recall,dos_tcp_recall,mqtt_publish_recall,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall,owltron_interaction_fpr,profiling_idle_fpr,owltron_power_fpr,macro_benign_pcap_fpr
hgb_22,0.01,True,0.9318886995315552,49,22504,0.0021773906861002486,0.9986709556714751,0.9978855459709657,0.9932811697872652,0.872624703087886,0.965615593629398,0.872624703087886,0.0047235641438539986,0.0003802570537683474,0.0,0.004324774887333819
hgb_22,0.005,True,0.9318886995315552,49,22504,0.0021773906861002486,0.9986709556714751,0.9978855459709657,0.9932811697872652,0.872624703087886,0.965615593629398,0.872624703087886,0.0047235641438539986,0.0003802570537683474,0.0,0.004324774887333819
hgb_22,0.0025,True,0.9318886995315552,49,22504,0.0021773906861002486,0.9986709556714751,0.9978855459709657,0.9932811697872652,0.872624703087886,0.965615593629398,0.872624703087886,0.0047235641438539986,0.0003802570537683474,0.0,0.004324774887333819
hgb_22,0.001,False,0.947233259677887,23,22504,0.0010220405261286882,0.9985932337809181,0.9975153850199874,0.9929483310109837,0.8689133016627079,0.9644925628686493,0.8689133016627079,0.0020397208803005903,0.0003042056430146779,0.0,0.0014000933935886034
hgb_22,0.0005,False,0.9663479328155518,12,22504,0.0005332385353714896,0.9984508472774177,0.997095913107511,0.9925534375475987,0.8650534441805225,0.9632884105282625,0.8650534441805225,0.0008588298443370907,0.0003042056430146779,0.0,0.0006225727923679094
xgboost_22,0.01,True,0.9337038397789001,105,22504,0.004665837184500533,0.9987123037172515,0.9978664790658531,0.9932303977705443,0.8741092636579573,0.9659796110529015,0.8741092636579573,0.00998389694041868,0.0004563084645220169,0.15,0.026077782436235174
xgboost_22,0.005,True,0.9337038397789001,105,22504,0.004665837184500533,0.9987123037172515,0.9978664790658531,0.9932303977705443,0.8741092636579573,0.9659796110529015,0.8741092636579573,0.00998389694041868,0.0004563084645220169,0.15,0.026077782436235174
xgboost_22,0.0025,True,0.9543355107307434,49,22504,0.0021773906861002486,0.9986069128336562,0.9975107826635808,0.9927621669496737,0.8696555819477435,0.9646338610986636,0.8696555819477435,0.0042941492216854536,0.0003042056430146779,0.125,0.016886280781634712
xgboost_22,0.001,False,0.9652717113494873,23,22504,0.0010220405261286882,0.9985366522445926,0.9970788186408585,0.992322142804759,0.8680225653206651,0.9639900447527189,0.8680225653206651,0.001610305958132045,0.0003042056430146779,0.1,0.012096381409736814
xgboost_22,0.0005,True,0.975692868232727,11,22504,0.0004888019907571987,0.9983771669251696,0.9967605985693246,0.9915662038891365,0.8650534441805225,0.9629393533910383,0.8650534441805225,0.00032206119162640903,0.0003042056430146779,0.1,0.010247923966216457
catboost_22,0.01,True,0.9492011070251465,35,22504,0.0015552790615001777,0.9984869102346362,0.9968618504102672,0.9866074702560602,0.8499109263657957,0.9579667893166898,0.8499109263657957,0.0031132581857219537,0.0003802570537683474,0.025,0.004548293304246582
catboost_22,0.005,True,0.9492011070251465,35,22504,0.0015552790615001777,0.9984869102346362,0.9968618504102672,0.9866074702560602,0.8499109263657957,0.9579667893166898,0.8499109263657957,0.0031132581857219537,0.0003802570537683474,0.025,0.004548293304246582
catboost_22,0.0025,True,0.9492011070251465,35,22504,0.0015552790615001777,0.9984869102346362,0.9968618504102672,0.9866074702560602,0.8499109263657957,0.9579667893166898,0.8499109263657957,0.0031132581857219537,0.0003802570537683474,0.025,0.004548293304246582
catboost_22,0.001,False,0.9555507302284241,23,22504,0.0010220405261286882,0.9983619334346205,0.9966639490847885,0.9857104979606574,0.8479809976247031,0.9571793445261924,0.8479809976247031,0.001932367149758454,0.0003042056430146779,0.025,0.0038072154298791814
catboost_22,0.0005,False,0.9687561392784119,12,22504,0.0005332385353714896,0.9981682504833524,0.9963792604670735,0.9812087124780693,0.8456057007125891,0.955340481035271,0.8456057007125891,0.0008588298443370907,0.0003042056430146779,0.0,0.0005852845297805462
