variant_id,feature_count,class_weight,model_id,point_type,threshold,fpr_target,benign_fp,benign_support,benign_fpr,owltron_interaction_fp,owltron_interaction_support,owltron_interaction_fpr,profiling_idle_fp,profiling_idle_support,profiling_idle_fpr,owltron_power_fp,owltron_power_support,owltron_power_fpr,ddos_tcp_tp,ddos_tcp_support,ddos_tcp_recall,dos_tcp_tp,dos_tcp_support,dos_tcp_recall,mqtt_publish_tp,mqtt_publish_support,mqtt_publish_recall,recon_os_scan_tp,recon_os_scan_support,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall
A_27_unweighted,27,none,A_27_unweighted,fixed_threshold,0.5,,6294,22504,0.27968361180234624,6245,9315,0.6704240472356414,49,13149,0.0037265191269298045,0,40,0.0,3213856,3216597,0.999147857191933,1519366,1520960,0.9989519776982958,176940,177263,0.9981778487332382,6060,6736,0.899643705463183,0.9739803472716626,0.899643705463183
A_27_unweighted,27,none,A_27_unweighted,fixed_threshold,0.75,,4228,22504,0.18787771062922148,4213,9315,0.4522812667740204,15,13149,0.0011407711613050423,0,40,0.0,3213184,3216597,0.9989389407501157,1518774,1520960,0.9985627498422049,176681,177263,0.996716742918714,5958,6736,0.8845011876484561,0.9696799052898727,0.8845011876484561
A_27_unweighted,27,none,A_27_unweighted,fixed_threshold,0.85,,2945,22504,0.13086562388908637,2935,9315,0.31508319914117017,10,13149,0.0007605141075366948,0,40,0.0,3212856,3216597,0.9988369696297049,1518318,1520960,0.998262939196297,176345,177263,0.9948212542944664,5902,6736,0.876187648456057,0.9670272028941314,0.876187648456057
A_27_unweighted,27,none,A_27_unweighted,fixed_threshold,0.9,,1103,22504,0.049013508709562746,1098,9315,0.1178743961352657,5,13149,0.0003802570537683474,0,40,0.0,3212531,3216597,0.9987359311719808,1517998,1520960,0.9980525457605722,175959,177263,0.9926436989106582,5865,6736,0.8706947743467933,0.965031737547501,0.8706947743467933
A_27_unweighted,27,none,A_27_unweighted,fixed_threshold,0.925,,679,22504,0.03017241379310345,676,9315,0.07257112184648416,3,13149,0.00022815423226100844,0,40,0.0,3212374,3216597,0.998687121824711,1517780,1520960,0.9979092152324848,175570,177263,0.9904492195212763,5830,6736,0.8654988123515439,0.963136092232504,0.8654988123515439
A_27_unweighted,27,none,A_27_unweighted,fixed_threshold,0.94,,72,22504,0.003199431212228937,69,9315,0.007407407407407408,3,13149,0.00022815423226100844,0,40,0.0,3212270,3216597,0.9986547895182393,1517670,1520960,0.9978368924889544,175197,177263,0.9883450014949539,5812,6736,0.8628266033254157,0.9619158217068908,0.8628266033254157
A_27_unweighted,27,none,A_27_unweighted,fixed_threshold,0.95,,19,22504,0.000844294347671525,16,9315,0.0017176596886741813,3,13149,0.00022815423226100844,0,40,0.0,3212220,3216597,0.9986392451401279,1517564,1520960,0.9977671996633705,174817,177263,0.9862012941222928,5801,6736,0.8611935866983373,0.9609503314060321,0.8611935866983373
A_27_unweighted,27,none,A_27_unweighted,fixed_threshold,0.97,,6,22504,0.0002666192676857448,4,9315,0.00042941492216854533,2,13149,0.00015210282150733895,0,40,0.0,3212037,3216597,0.9985823527162402,1517098,1520960,0.9974608142225962,172723,177263,0.9743883382318927,5767,6736,0.856146080760095,0.9566443964827059,0.856146080760095
A_27_unweighted,27,none,A_27_unweighted,fixed_threshold,0.98,,5,22504,0.00022218272307145397,3,9315,0.00032206119162640903,2,13149,0.00015210282150733895,0,40,0.0,3211808,3216597,0.99851115946449,1516435,1520960,0.997024905322954,169424,177263,0.9557775734360808,5737,6736,0.8516923990498813,0.9507515093183514,0.8516923990498813
A_27_unweighted,27,none,A_27_unweighted,fixed_threshold,0.99,,1,22504,4.443654461429079e-05,0,9315,0.0,1,13149,7.605141075366947e-05,0,40,0.0,3211455,3216597,0.9984014161550234,1515558,1520960,0.9964482958131706,156068,177263,0.8804319006222393,5701,6736,0.8463479809976246,0.9304073983970145,0.8463479809976246
A_27_unweighted,27,none,A_27_unweighted,fixed_threshold,0.995,,1,22504,4.443654461429079e-05,0,9315,0.0,1,13149,7.605141075366947e-05,0,40,0.0,3211001,3216597,0.9982602732017719,1514651,1520960,0.9958519619187881,130414,177263,0.7357090876268595,5651,6736,0.8389251781472684,0.8921866252236719,0.7357090876268595
B_27_balanced,27,balanced,B_27_balanced,fixed_threshold,0.5,,6687,22504,0.29714717383576256,6644,9315,0.7132581857219539,43,13149,0.003270210662407788,0,40,0.0,3213432,3216597,0.9990160408655483,1518855,1520960,0.9986160056806228,176656,177263,0.9965757095389337,5991,6736,0.8894002375296912,0.9709019984036991,0.8894002375296912
B_27_balanced,27,balanced,B_27_balanced,fixed_threshold,0.75,,4440,22504,0.1972982580874511,4430,9315,0.475577026301664,10,13149,0.0007605141075366948,0,40,0.0,3212728,3216597,0.9987971760217398,1518095,1520960,0.9981163212707763,175964,177263,0.9926719055866142,5888,6736,0.8741092636579573,0.9659236666342719,0.8741092636579573
B_27_balanced,27,balanced,B_27_balanced,fixed_threshold,0.85,,2276,22504,0.10113757554212584,2273,9315,0.2440150295222759,3,13149,0.00022815423226100844,0,40,0.0,3212333,3216597,0.9986743754346596,1517689,1520960,0.9978493845992005,175489,177263,0.989992271370788,5840,6736,0.8669833729216152,0.9633748510815658,0.8669833729216152
B_27_balanced,27,balanced,B_27_balanced,fixed_threshold,0.9,,1048,22504,0.04656949875577675,1046,9315,0.1122920021470746,2,13149,0.00015210282150733895,0,40,0.0,3212122,3216597,0.9986087781590296,1517288,1520960,0.9975857353250579,175047,177263,0.9874988012162719,5812,6736,0.8628266033254157,0.9616299795064438,0.8628266033254157
B_27_balanced,27,balanced,B_27_balanced,fixed_threshold,0.925,,438,22504,0.019463206541059368,436,9315,0.046806226516371445,2,13149,0.00015210282150733895,0,40,0.0,3211975,3216597,0.9985630776873821,1516889,1520960,0.9973234010098885,174650,177263,0.9852591911453603,5786,6736,0.8589667458432304,0.9600281039214653,0.8589667458432304
B_27_balanced,27,balanced,B_27_balanced,fixed_threshold,0.94,,225,22504,0.009998222538215428,223,9315,0.023939881910896403,2,13149,0.00015210282150733895,0,40,0.0,3211847,3216597,0.9985232840794168,1516653,1520960,0.9971682358510414,174254,177263,0.98302522240964,5774,6736,0.857185273159145,0.9589755038748108,0.857185273159145
B_27_balanced,27,balanced,B_27_balanced,fixed_threshold,0.95,,136,22504,0.006043370067543548,134,9315,0.01438539989264627,2,13149,0.00015210282150733895,0,40,0.0,3211734,3216597,0.9984881537848851,1516475,1520960,0.9970512045024196,173977,177263,0.9814625725616739,5762,6736,0.8554038004750594,0.9581014328310096,0.8554038004750594
B_27_balanced,27,balanced,B_27_balanced,fixed_threshold,0.97,,15,22504,0.0006665481692143619,13,9315,0.0013955984970477724,2,13149,0.00015210282150733895,0,40,0.0,3211436,3216597,0.9983955092913411,1515833,1520960,0.9966291026719967,172545,177263,0.9733841805678568,5736,6736,0.8515439429928741,0.9549881838810171,0.8515439429928741
B_27_balanced,27,balanced,B_27_balanced,fixed_threshold,0.98,,2,22504,8.887308922858158e-05,1,9315,0.00010735373054213633,1,13149,7.605141075366947e-05,0,40,0.0,3211265,3216597,0.9983423475182002,1515356,1520960,0.9963154849568694,169849,177263,0.9581751408923465,5709,6736,0.8475356294536817,0.9500921507052744,0.8475356294536817
B_27_balanced,27,balanced,B_27_balanced,fixed_threshold,0.99,,1,22504,4.443654461429079e-05,0,9315,0.0,1,13149,7.605141075366947e-05,0,40,0.0,3210639,3216597,0.9981477319042454,1514268,1520960,0.995600147275405,156369,177263,0.8821299425147944,5676,6736,0.8426365795724465,0.9296286003167229,0.8426365795724465
B_27_balanced,27,balanced,B_27_balanced,fixed_threshold,0.995,,1,22504,4.443654461429079e-05,0,9315,0.0,1,13149,7.605141075366947e-05,0,40,0.0,3208496,3216597,0.9974814998583907,1512011,1520960,0.9941162160740585,128718,177263,0.7261413831425622,5635,6736,0.8365498812351544,0.8885722450775415,0.7261413831425622
C_22_unweighted,22,none,C_22_unweighted,fixed_threshold,0.5,,5295,22504,0.23529150373266974,5193,9315,0.557487922705314,96,13149,0.00730093543235227,6,40,0.15,3213836,3216597,0.9991416394406885,1519443,1520960,0.9990026036187671,176596,177263,0.9962372294274608,6089,6736,0.9039489311163895,0.9745826009008265,0.9039489311163895
C_22_unweighted,22,none,C_22_unweighted,fixed_threshold,0.75,,3827,22504,0.17005865623889085,3811,9315,0.4091250670960816,14,13149,0.0010647197505513728,2,40,0.05,3213280,3216597,0.9989687859560896,1518827,1520960,0.9985975962549969,176362,177263,0.994917156992717,5995,6736,0.8899940617577197,0.9706194002403807,0.8899940617577197
C_22_unweighted,22,none,C_22_unweighted,fixed_threshold,0.85,,3023,22504,0.13433167436900106,3014,9315,0.32356414385399895,8,13149,0.0006084112860293558,1,40,0.025,3213028,3216597,0.9988904422904081,1518591,1520960,0.9984424310961498,176261,177263,0.9943473821384046,5945,6736,0.8825712589073634,0.9685628786080815,0.8825712589073634
C_22_unweighted,22,none,C_22_unweighted,fixed_threshold,0.9,,2818,22504,0.12522218272307145,2810,9315,0.3016639828234031,7,13149,0.0005323598752756864,1,40,0.025,3212696,3216597,0.9987872276197485,1518205,1520960,0.9981886440143067,176165,177263,0.9938058139600481,5910,6736,0.877375296912114,0.9670392456265544,0.877375296912114
C_22_unweighted,22,none,C_22_unweighted,fixed_threshold,0.925,,2126,22504,0.09447209384998223,2121,9315,0.22769726247987118,5,13149,0.0003802570537683474,0,40,0.0,3212472,3216597,0.9987175888058094,1517829,1520960,0.9979414317273301,176083,177263,0.9933432244743686,5885,6736,0.8736638954869359,0.965916535123611,0.8736638954869359
C_22_unweighted,22,none,C_22_unweighted,fixed_threshold,0.94,,26,22504,0.0011553501599715606,21,9315,0.0022544283413848632,5,13149,0.0003802570537683474,0,40,0.0,3212165,3216597,0.9986221463242053,1517373,1520960,0.9976416210814223,176034,177263,0.9930667990499992,5865,6736,0.8706947743467933,0.965006335200605,0.8706947743467933
C_22_unweighted,22,none,C_22_unweighted,fixed_threshold,0.95,,19,22504,0.000844294347671525,15,9315,0.001610305958132045,4,13149,0.0003042056430146779,0,40,0.0,3211925,3216597,0.9985475333092706,1516929,1520960,0.9973497001893541,176001,177263,0.9928806349886892,5853,6736,0.8689133016627079,0.9644227925375054,0.8689133016627079
C_22_unweighted,22,none,C_22_unweighted,fixed_threshold,0.97,,10,22504,0.00044436544614290794,6,9315,0.0006441223832528181,4,13149,0.0003042056430146779,0,40,0.0,3211515,3216597,0.9984200694087572,1516458,1520960,0.9970400273511466,175930,177263,0.992480100190113,5820,6736,0.8640142517814727,0.9629886121828723,0.8640142517814727
C_22_unweighted,22,none,C_22_unweighted,fixed_threshold,0.98,,3,22504,0.0001333096338428724,1,9315,0.00010735373054213633,2,13149,0.00015210282150733895,0,40,0.0,3211087,3216597,0.9982870095321236,1516256,1520960,0.9969072164948454,175651,177263,0.9909061676717645,5800,6736,0.8610451306413301,0.9617863810850159,0.8610451306413301
C_22_unweighted,22,none,C_22_unweighted,fixed_threshold,0.99,,2,22504,8.887308922858158e-05,0,9315,0.0,2,13149,0.00015210282150733895,0,40,0.0,3209699,3216597,0.997855497595751,1514886,1520960,0.9960064695981485,175260,177263,0.9887004056120002,5766,6736,0.8559976247030879,0.9596399993772469,0.8559976247030879
C_22_unweighted,22,none,C_22_unweighted,fixed_threshold,0.995,,2,22504,8.887308922858158e-05,0,9315,0.0,2,13149,0.00015210282150733895,0,40,0.0,3207453,3216597,0.9971572441309868,1513997,1520960,0.9954219703345255,172498,177263,0.9731190378138698,5727,6736,0.85020783847981,0.953976522689798,0.85020783847981
D_22_balanced,22,balanced,D_22_balanced,fixed_threshold,0.5,,6813,22504,0.3027461784571632,6781,9315,0.7279656468062266,31,13149,0.002357593733363754,1,40,0.025,3213392,3216597,0.9990036053630592,1518915,1520960,0.9986554544498212,176511,177263,0.9957577159362078,6020,6736,0.8937054631828979,0.9717805597329966,0.8937054631828979
D_22_balanced,22,balanced,D_22_balanced,fixed_threshold,0.75,,3933,22504,0.1747689299680057,3924,9315,0.421256038647343,8,13149,0.0006084112860293558,1,40,0.025,3212824,3216597,0.9988270212277136,1518114,1520960,0.9981288133810226,176298,177263,0.9945561115404794,5938,6736,0.8815320665083135,0.9682610031643822,0.8815320665083135
D_22_balanced,22,balanced,D_22_balanced,fixed_threshold,0.85,,3082,22504,0.13695343050124423,3075,9315,0.33011272141706927,7,13149,0.0005323598752756864,0,40,0.0,3212430,3216597,0.9987045315281958,1517746,1520960,0.997886860929939,176189,177263,0.9939412060046372,5899,6736,0.8757422802850356,0.9665687196869519,0.8757422802850356
D_22_balanced,22,balanced,D_22_balanced,fixed_threshold,0.9,,909,22504,0.04039281905439033,902,9315,0.09683306494900698,7,13149,0.0005323598752756864,0,40,0.0,3211905,3216597,0.998541315558026,1516885,1520960,0.997320771091942,176070,177263,0.9932698871168828,5867,6736,0.8709916864608076,0.9650309150569145,0.8709916864608076
D_22_balanced,22,balanced,D_22_balanced,fixed_threshold,0.925,,197,22504,0.008753999289015286,191,9315,0.02050456253354804,6,13149,0.0004563084645220169,0,40,0.0,3211287,3216597,0.9983491870445691,1515371,1520960,0.996325347149169,176000,177263,0.992874993653498,5851,6736,0.8686163895486936,0.9640414793489823,0.8686163895486936
D_22_balanced,22,balanced,D_22_balanced,fixed_threshold,0.94,,114,22504,0.00506576608602915,108,9315,0.011594202898550725,6,13149,0.0004563084645220169,0,40,0.0,3210643,3216597,0.9981489754544943,1515041,1520960,0.9961083789185777,175851,177263,0.9920344347100072,5843,6736,0.8674287410926366,0.963430132543929,0.8674287410926366
D_22_balanced,22,balanced,D_22_balanced,fixed_threshold,0.95,,46,22504,0.0020440810522573765,43,9315,0.004616210413311863,3,13149,0.00022815423226100844,0,40,0.0,3210162,3216597,0.9979994385370626,1514824,1520960,0.9959657058699769,175794,177263,0.9917128786041081,5833,6736,0.8659441805225653,0.9629055508834282,0.8659441805225653
D_22_balanced,22,balanced,D_22_balanced,fixed_threshold,0.97,,12,22504,0.0005332385353714896,10,9315,0.0010735373054213634,2,13149,0.00015210282150733895,0,40,0.0,3208390,3216597,0.9974485457767945,1514381,1520960,0.9956744424573953,175590,177263,0.9905620462251006,5808,6736,0.8622327790973872,0.9614794533891694,0.8622327790973872
