benign_group,pcap_count,row_count,tn,fp,fpr,specificity,attack_score_mean,attack_score_p95,attack_score_p99,max_attack_score
owltron_interaction,8,9315,4677,4638,0.49790660225442834,0.5020933977455717,0.49547008111397073,0.9335840940475464,0.9335840940475464,0.9903533458709717
owltron_power,1,40,18,22,0.55,0.45,0.5343100107384089,0.9888443619012832,0.9947904342412949,0.9948592185974121
profiling_idle,1,13149,13064,85,0.006464369914061906,0.9935356300859381,0.034877443989664136,0.1487829983234402,0.40545945048332216,0.9987713694572449
