modeling_group_key,pcap_count,row_count,tp,fn,recall,attack_score_mean,attack_score_p05,attack_score_p50,attack_score_p95
DDoS|DDoS_TCP,4,3216597,3214035,2562,0.9992035060655717,0.9978145611590775,0.9900000095367432,1.0,1.0
DoS|DoS_TCP,4,1520960,1519602,1358,0.9991071428571429,0.9973066366384278,0.9900000095367432,1.0,1.0
MQTT|MQTT_DoS_Publish_Flood,1,177263,177117,146,0.9991763650620828,0.9825061123627779,0.949999988079071,0.9900000095367432,1.0
Recon|OS_Scan,1,6736,6050,686,0.8981591448931117,0.8980522567490359,0.09750000201165676,1.0,1.0
