model_id,point_type,threshold,fpr_target,benign_fp,benign_support,benign_fpr,owltron_interaction_fp,owltron_interaction_support,owltron_interaction_fpr,profiling_idle_fp,profiling_idle_support,profiling_idle_fpr,owltron_power_fp,owltron_power_support,owltron_power_fpr,ddos_tcp_tp,ddos_tcp_support,ddos_tcp_recall,dos_tcp_tp,dos_tcp_support,dos_tcp_recall,mqtt_publish_tp,mqtt_publish_support,mqtt_publish_recall,recon_os_scan_tp,recon_os_scan_support,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall,macro_benign_pcap_fpr,target_reached
xgboost,fixed_threshold,0.5,,4393,22504,0.19520974049057946,4380,9315,0.47020933977455714,13,13149,0.0009886683397977033,0,40,0.0,3214036,3216597,0.999203816953134,1519508,1520960,0.9990453397853987,176838,177263,0.9976024325437345,6051,6736,0.8983076009501187,0.9735397975580966,0.8983076009501187,0.3716069729267821,
xgboost,fixed_threshold,0.75,,3835,22504,0.1704141485958052,3831,9315,0.41127214170692433,4,13149,0.0003042056430146779,0,40,0.0,3213376,3216597,0.9989986311620636,1518990,1520960,0.9987047654113191,176601,177263,0.996265436103417,5911,6736,0.8775237529691211,0.9678731464114803,0.8775237529691211,0.3223491208054468,
xgboost,fixed_threshold,0.85,,2795,22504,0.12420014219694277,2792,9315,0.29973161567364465,3,13149,0.00022815423226100844,0,40,0.0,3212779,3216597,0.9988130312874134,1518400,1520960,0.9983168525142015,176188,177263,0.993935564669446,5841,6736,0.8671318289786223,0.9645493193624208,0.8671318289786223,0.23758171450556512,
xgboost,fixed_threshold,0.9,,2008,22504,0.08922858158549592,2006,9315,0.2153515834675255,2,13149,0.00015210282150733895,0,40,0.0,3212523,3216597,0.998733444071483,1518011,1520960,0.9980610929938986,175542,177263,0.9902912621359223,5808,6736,0.8622327790973872,0.9623296445746727,0.8622327790973872,0.16766748449749877,
xgboost,fixed_threshold,0.925,,1490,22504,0.06621045147529328,1488,9315,0.15974235104669887,2,13149,0.00015210282150733895,0,40,0.0,3212391,3216597,0.9986924069132689,1517725,1520960,0.9978730538607196,174000,177263,0.9815923232710718,5788,6736,0.8592636579572447,0.9593553605005762,0.8592636579572447,0.12329070116220313,
xgboost,fixed_threshold,0.94,,1024,22504,0.04550302168503377,1022,9315,0.10971551261406334,2,13149,0.00015210282150733895,0,40,0.0,3212247,3216597,0.9986476391043081,1517384,1520960,0.9976488533557752,171721,177263,0.9687357203702972,5769,6736,0.8564429928741093,0.9553688014261226,0.8564429928741093,0.08228164321746209,
xgboost,fixed_threshold,0.95,,349,22504,0.015508354070387486,348,9315,0.03735909822866344,1,13149,7.605141075366947e-05,0,40,0.0,3212143,3216597,0.9986153067978364,1517094,1520960,0.9974581843046497,168175,177263,0.9487315457822557,5756,6736,0.8545130641330166,0.9498295252544396,0.8545130641330166,0.024798133195031057,
xgboost,fixed_threshold,0.97,,8,22504,0.00035549235691432633,8,9315,0.0008588298443370907,0,13149,0.0,0,40,0.0,3211977,3216597,0.9985636994625064,1516658,1520960,0.9971715232484747,152263,177263,0.8589666202196736,5728,6736,0.850356294536817,0.9262645343668678,0.850356294536817,0.0005953409198719161,
xgboost,fixed_threshold,0.98,,1,22504,4.443654461429079e-05,1,9315,0.00010735373054213633,0,13149,0.0,0,40,0.0,3211837,3216597,0.9985201752037945,1516346,1520960,0.9969663896486429,144505,177263,0.8152011418062427,5703,6736,0.8466448931116389,0.9143331499425797,0.8152011418062427,8.176614881439084e-05,
xgboost,fixed_threshold,0.99,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,3211438,3216597,0.9983961310664656,1515588,1520960,0.9964680201977698,130126,177263,0.7340843830917901,5658,6736,0.8399643705463183,0.892228226225586,0.7340843830917901,0.0,
