model_id,roc_auc,pr_auc,accuracy_at_0_5,f1_at_0_5,benign_fpr_at_0_5,selection_role,note
hgb,0.9994477405872135,0.9999974765147623,0.9976480867950631,0.9988187814961126,0.27968361180234624,,secondary metrics only; do not auto-select winner
adaboost,0.9991930216230358,0.9999962950480225,0.9976646723542999,0.9988267817299857,0.21640597227159616,,secondary metrics only; do not auto-select winner
random_forest,0.9900155455235644,0.9999158728138537,0.9976871235381448,0.9988384621299548,0.2895040881621045,,secondary metrics only; do not auto-select winner
extratrees,0.9863320407295564,0.9998804591388752,0.9977560951930196,0.9988730994599938,0.2818165659438322,secondary,secondary metrics only; do not auto-select winner
