model_id,point_type,threshold,fpr_target,benign_fp,benign_support,benign_fpr,owltron_interaction_fp,owltron_interaction_support,owltron_interaction_fpr,profiling_idle_fp,profiling_idle_support,profiling_idle_fpr,owltron_power_fp,owltron_power_support,owltron_power_fpr,ddos_tcp_tp,ddos_tcp_support,ddos_tcp_recall,dos_tcp_tp,dos_tcp_support,dos_tcp_recall,mqtt_publish_tp,mqtt_publish_support,mqtt_publish_recall,recon_os_scan_tp,recon_os_scan_support,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall,macro_benign_pcap_fpr,target_reached
extratrees,fixed_threshold,0.5,,6342,22504,0.2818165659438322,6331,9315,0.6796564680622652,11,13149,0.0008365655182903642,0,40,0.0,3214035,3216597,0.9992035060655717,1519602,1520960,0.9991071428571429,177117,177263,0.9991763650620828,6050,6736,0.8981591448931117,0.9739115397194773,0.8981591448931117,0.5065885044428204,
extratrees,fixed_threshold,0.75,,3651,22504,0.1622378243867757,3650,9315,0.39184111647879766,1,13149,7.605141075366947e-05,0,40,0.0,3213370,3216597,0.9989967658366902,1519183,1520960,0.9988316589522407,176746,177263,0.9970834297061428,5840,6736,0.8669833729216152,0.9654738068541723,0.8669833729216152,0.30889228792663576,
extratrees,fixed_threshold,0.85,,2783,22504,0.12366690366157128,2783,9315,0.29876543209876544,0,13149,0.0,0,40,0.0,3213052,3216597,0.9988979035919017,1518738,1520960,0.9985390805806859,175978,177263,0.9927508842792913,5778,6736,0.8577790973871734,0.961991741459763,0.8577790973871734,0.2358814043558879,
extratrees,fixed_threshold,0.9,,2274,22504,0.10104870245289727,2274,9315,0.24412238325281804,0,13149,0.0,0,40,0.0,3212671,3216597,0.9987794554306928,1518005,1520960,0.9980571481169788,174881,177263,0.9865623395745305,5729,6736,0.8505047505938242,0.9584759234290066,0.8505047505938242,0.19128493647176747,
extratrees,fixed_threshold,0.925,,1897,22504,0.08429612513330964,1897,9315,0.20365002683843264,0,13149,0.0,0,40,0.0,3212054,3216597,0.9985876378047981,1517010,1520960,0.997402956027772,173300,177263,0.9776433886372227,5695,6736,0.8454572446555819,0.9547728067813437,0.8454572446555819,0.15923922894666676,
extratrees,fixed_threshold,0.94,,1751,22504,0.07780838961962318,1751,9315,0.18797638217928073,0,13149,0.0,0,40,0.0,3211562,3216597,0.9984346811241819,1516373,1520960,0.9969841415947822,172201,177263,0.9714435612620795,5688,6736,0.8444180522565321,0.9528201090593938,0.8444180522565321,0.14673061699780895,
extratrees,fixed_threshold,0.95,,1588,22504,0.07056523284749378,1588,9315,0.1704777241009125,0,13149,0.0,0,40,0.0,3210646,3216597,0.998149908117181,1515482,1520960,0.996398327372186,169050,177263,0.9536677140745672,5672,6736,0.8420427553444181,0.9475646762270882,0.8420427553444181,0.1311261358816608,
extratrees,fixed_threshold,0.97,,1204,22504,0.05350159971560611,1204,9315,0.12925389157273215,0,13149,0.0,0,40,0.0,3206026,3216597,0.9967136075796875,1511417,1520960,0.9937256732589943,150851,177263,0.8510010549296808,5639,6736,0.837143705463183,0.9196460103078865,0.837143705463183,0.09781294678642524,
extratrees,fixed_threshold,0.98,,982,22504,0.04363668681123356,982,9315,0.10542136339237788,0,13149,0.0,0,40,0.0,3186429,3216597,0.9906211440227047,1499890,1520960,0.9861469072164949,135804,177263,0.7661158843074979,5618,6736,0.8340261282660333,0.8942275159531827,0.7661158843074979,0.0801263223701862,
extratrees,fixed_threshold,0.99,,748,22504,0.03323853537148951,748,9315,0.08030059044551799,0,13149,0.0,0,40,0.0,3150286,3216597,0.979384734861097,1464138,1520960,0.962640700610141,110810,177263,0.6251163525383188,5585,6736,0.8291270783847982,0.8490672165985886,0.6251163525383188,0.06170422901784076,
extratrees,fixed_threshold,0.995,,459,22504,0.020396373977959473,459,9315,0.04927536231884058,0,13149,0.0,0,40,0.0,2855677,3216597,0.8877944610406588,1347227,1520960,0.88577411634757,68460,177263,0.38620580719044584,5469,6736,0.8119061757719715,0.7429201400876616,0.38620580719044584,0.03588849147682825,
