benign_group,pcap_count,row_count,tn,fp,fpr,specificity,attack_score_mean,attack_score_p95,attack_score_p99,max_attack_score
owltron_interaction,8,9315,3089,6226,0.6683843263553408,0.33161567364465916,0.6435444571129814,0.9474039077758789,0.9474039077758789,0.9845495820045471
owltron_power,1,40,30,10,0.25,0.75,0.3207360313972458,0.8653468281030654,0.9338859760761261,0.9601894021034241
profiling_idle,1,13149,13081,68,0.0051714959312495245,0.9948285040687505,0.04818984871764719,0.18338492512702942,0.3851490509510047,0.9896298050880432
