modeling_group_key,pcap_count,row_count,tp,fn,recall,attack_score_mean,attack_score_p05,attack_score_p50,attack_score_p95
DDoS|DDoS_TCP,4,3216597,3213379,3218,0.9989995638247502,0.7584850456647168,0.7602472305297852,0.7602472305297852,0.7641398906707764
DoS|DoS_TCP,4,1520960,1518617,2343,0.9984595255628025,0.7566160069947857,0.7367545962333679,0.7602472305297852,0.7641398906707764
MQTT|MQTT_DoS_Publish_Flood,1,177263,176971,292,0.9983527301241658,0.5739369335249369,0.5492584705352783,0.5799437761306763,0.5903568267822266
Recon|OS_Scan,1,6736,5913,823,0.8778206650831354,0.6930451514309984,0.4103882610797882,0.7116079926490784,0.783910870552063
