modeling_group_key,pcap_count,row_count,tp,fn,recall,attack_score_mean,attack_score_p05,attack_score_p50,attack_score_p95
DDoS|DDoS_TCP,4,3216597,3214036,2561,0.999203816953134,0.9992089069329336,0.9999892711639404,0.9999961853027344,0.9999979734420776
DoS|DoS_TCP,4,1520960,1519508,1452,0.9990453397853987,0.9988765844876948,0.9999840259552002,0.9999964237213135,0.9999979734420776
MQTT|MQTT_DoS_Publish_Flood,1,177263,176838,425,0.9976024325437345,0.986981133997903,0.9497440397739411,0.9980993866920471,0.9998427629470825
Recon|OS_Scan,1,6736,6051,685,0.8983076009501187,0.8982678542891545,0.05613736528903246,0.9999830722808838,0.9999983310699463
