model_id,point_type,threshold,fpr_target,benign_fp,benign_support,benign_fpr,owltron_interaction_fp,owltron_interaction_support,owltron_interaction_fpr,profiling_idle_fp,profiling_idle_support,profiling_idle_fpr,owltron_power_fp,owltron_power_support,owltron_power_fpr,ddos_tcp_tp,ddos_tcp_support,ddos_tcp_recall,dos_tcp_tp,dos_tcp_support,dos_tcp_recall,mqtt_publish_tp,mqtt_publish_support,mqtt_publish_recall,recon_os_scan_tp,recon_os_scan_support,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall
D_22_balanced,fixed_threshold,0.5,,6813,22504,0.3027461784571632,6781,9315,0.7279656468062266,31,13149,0.002357593733363754,1,40,0.025,3213392,3216597,0.9990036053630592,1518915,1520960,0.9986554544498212,176511,177263,0.9957577159362078,6020,6736,0.8937054631828979,0.9717805597329966,0.8937054631828979
D_22_balanced,fixed_threshold,0.75,,3933,22504,0.1747689299680057,3924,9315,0.421256038647343,8,13149,0.0006084112860293558,1,40,0.025,3212824,3216597,0.9988270212277136,1518114,1520960,0.9981288133810226,176298,177263,0.9945561115404794,5938,6736,0.8815320665083135,0.9682610031643822,0.8815320665083135
D_22_balanced,fixed_threshold,0.85,,3082,22504,0.13695343050124423,3075,9315,0.33011272141706927,7,13149,0.0005323598752756864,0,40,0.0,3212430,3216597,0.9987045315281958,1517746,1520960,0.997886860929939,176189,177263,0.9939412060046372,5899,6736,0.8757422802850356,0.9665687196869519,0.8757422802850356
D_22_balanced,fixed_threshold,0.9,,909,22504,0.04039281905439033,902,9315,0.09683306494900698,7,13149,0.0005323598752756864,0,40,0.0,3211905,3216597,0.998541315558026,1516885,1520960,0.997320771091942,176070,177263,0.9932698871168828,5867,6736,0.8709916864608076,0.9650309150569145,0.8709916864608076
D_22_balanced,fixed_threshold,0.925,,197,22504,0.008753999289015286,191,9315,0.02050456253354804,6,13149,0.0004563084645220169,0,40,0.0,3211287,3216597,0.9983491870445691,1515371,1520960,0.996325347149169,176000,177263,0.992874993653498,5851,6736,0.8686163895486936,0.9640414793489823,0.8686163895486936
D_22_balanced,fixed_threshold,0.94,,114,22504,0.00506576608602915,108,9315,0.011594202898550725,6,13149,0.0004563084645220169,0,40,0.0,3210643,3216597,0.9981489754544943,1515041,1520960,0.9961083789185777,175851,177263,0.9920344347100072,5843,6736,0.8674287410926366,0.963430132543929,0.8674287410926366
D_22_balanced,fixed_threshold,0.95,,46,22504,0.0020440810522573765,43,9315,0.004616210413311863,3,13149,0.00022815423226100844,0,40,0.0,3210162,3216597,0.9979994385370626,1514824,1520960,0.9959657058699769,175794,177263,0.9917128786041081,5833,6736,0.8659441805225653,0.9629055508834282,0.8659441805225653
D_22_balanced,fixed_threshold,0.97,,12,22504,0.0005332385353714896,10,9315,0.0010735373054213634,2,13149,0.00015210282150733895,0,40,0.0,3208390,3216597,0.9974485457767945,1514381,1520960,0.9956744424573953,175590,177263,0.9905620462251006,5808,6736,0.8622327790973872,0.9614794533891694,0.8622327790973872
D_22_balanced,fixed_threshold,0.98,,6,22504,0.0002666192676857448,4,9315,0.00042941492216854533,2,13149,0.00015210282150733895,0,40,0.0,3207128,3216597,0.9970562056732628,1514034,1520960,0.9954462970755312,175126,177263,0.9879444666963777,5788,6736,0.8592636579572447,0.9599276568506041,0.8592636579572447
D_22_balanced,fixed_threshold,0.99,,2,22504,8.887308922858158e-05,0,9315,0.0,2,13149,0.00015210282150733895,0,40,0.0,3206031,3216597,0.9967151620174987,1513697,1520960,0.9952247264885336,174191,177263,0.9826698182925935,5763,6736,0.8555522565320665,0.9575404908326731,0.8555522565320665
D_22_balanced,fixed_threshold,0.995,,2,22504,8.887308922858158e-05,0,9315,0.0,2,13149,0.00015210282150733895,0,40,0.0,3203499,3216597,0.9959279947099372,1512922,1520960,0.9947151798863876,170133,177263,0.9597772800866509,5739,6736,0.8519893111638955,0.9506024414617179,0.8519893111638955
