modeling_group_key,pcap_count,row_count,tp,fn,recall,attack_score_mean,attack_score_p05,attack_score_p50,attack_score_p95
DDoS|DDoS_TCP,4,3216597,3213856,2741,0.999147857191933,0.9991785448745459,0.9999825358390808,0.9999915361404419,0.9999956488609314
DoS|DoS_TCP,4,1520960,1519366,1594,0.9989519776982958,0.9988167700407822,0.9999665021896362,0.9999921917915344,0.9999956488609314
MQTT|MQTT_DoS_Publish_Flood,1,177263,176940,323,0.9981778487332382,0.9932420684236379,0.9818761944770813,0.998814046382904,0.9998636245727539
Recon|OS_Scan,1,6736,6060,676,0.899643705463183,0.9017602134514086,0.0613651042804122,0.999976396560669,0.9999969005584717
