modeling_group_key,pcap_count,row_count,tp,fn,recall,attack_score_mean,attack_score_p05,attack_score_p50,attack_score_p95
DDoS|DDoS_TCP,4,3216597,3213836,2761,0.9991416394406885,0.999184442790468,0.9999918341636658,0.9999934434890747,0.9999935030937195
DoS|DoS_TCP,4,1520960,1519443,1517,0.9990026036187671,0.9988470975331553,0.9999935030937195,0.9999935030937195,0.9999935030937195
MQTT|MQTT_DoS_Publish_Flood,1,177263,176596,667,0.9962372294274608,0.9952052748267374,0.9961609244346619,0.9992367029190063,0.9998572468757629
Recon|OS_Scan,1,6736,6089,647,0.9039489311163895,0.9047866972511598,0.03488243371248245,0.999978244304657,0.9999979734420776
