benign_group,pcap_count,row_count,tn,fp,fpr,specificity,attack_score_mean,attack_score_p95,attack_score_p99,max_attack_score
owltron_interaction,8,9315,4122,5193,0.557487922705314,0.442512077294686,0.552944606864123,0.9291789531707764,0.9310421347618103,0.9800967574119568
owltron_power,1,40,34,6,0.15,0.85,0.17623455302091315,0.5887493163347238,0.8559617662429809,0.9058380722999573
profiling_idle,1,13149,13053,96,0.00730093543235227,0.9926990645676478,0.03483601570340752,0.1620314568281165,0.444155054092408,0.9979671835899353
